episode_length,episode_return,episodes,steps,steps_per_second,success
12,-1.9716666666666667,1,12,19.33473034638881,False
48,-2.37313628877716,2,60,68.74774140741128,False
66,-17.31084998599026,3,126,59.99970609635488,False
17,-2.4133333333333336,4,143,65.45382176421882,False
26,-4.740567906966915,5,169,70.87431840308423,False
16,-1.7203266379601032,6,185,69.26029659307055,False
126,-2.8593277371903003,7,311,69.39812073838921,False
10,-1.795,8,321,72.53556907932851,False
10,-2.0252597131124865,9,331,67.87712444532193,False
24,-0.14853873743581136,10,355,72.77555700468912,False
25,-3.049680099516304,11,380,72.65490968855926,False
8,0.004567540226259492,12,388,65.11820060743084,False
12,-1.6816846211933782,13,400,70.63307787627758,False
24,-3.4789569688143787,14,424,66.92664505439856,False
61,-9.019852203745593,15,485,69.34133675542144,False
14,-2.1483333333333334,16,499,74.61353609693619,False
20,-3.365520279441064,17,519,61.58869399289446,False
12,-1.010545713786972,18,531,63.14931758813389,False
22,-4.123175830260763,19,553,67.75223926405143,False
21,-2.9602234395338973,20,574,69.69608902829452,False
82,-12.89981478087459,21,656,67.64055173200464,False
42,-7.0094385631588745,22,698,57.909027733490774,False
16,-4.037607045092632,23,714,59.13279595095182,False
12,-1.7471059731673704,24,726,65.95025000786188,False
48,1.0388183308435943,25,774,67.62531855782612,False
1,1.0,26,775,46.02348190576514,True
25,-5.968396030080067,27,800,62.61717849588733,False
15,-3.4858169262459615,28,815,69.6229390458885,False
18,-5.7204454144544,29,833,63.87021813890334,False
16,-4.811847451673106,30,849,58.67241597882127,False
10,-2.260141064404049,31,859,37.95066770780647,False
20,-2.6783333333333337,32,879,65.4041187262247,False
19,-1.031324548929918,33,898,64.43795811666496,False
64,-13.948414863684887,34,962,67.88837529725693,False
29,-3.734904984977155,35,991,72.26355816353386,False
14,-3.6771030657422945,36,1005,67.63004041430129,False
49,-8.70141550125633,37,1054,69.75582715890154,False
7,-1.5299999999999998,38,1061,73.37830650804759,False
9,-1.7066666666666666,39,1070,67.87692916288312,False
31,-0.41694716991388314,40,1101,64.06887444368671,False
13,-2.469084002147385,41,1114,72.60339995020047,False
19,-2.5900000000000003,42,1133,74.4998097581451,False
48,-2.195942493367739,43,1181,71.85767421042844,False
42,0.8182731736213813,44,1223,70.09892357077966,False
17,-2.1395260152226916,45,1240,62.72866176589613,False
24,-5.28085127976888,46,1264,69.57612620333866,False
33,-2.918855511852657,47,1297,74.52637972197185,False
15,-2.253093931849417,48,1312,70.12518182071503,False
60,-18.104244599805092,49,1372,67.93836425217333,False
15,-1.2944236217065481,50,1387,71.1348297964477,False
40,2.854054754274973,51,1427,66.01099552679653,False
34,-4.8387130504112825,52,1461,65.03564990119672,False
50,-7.384962524592805,53,1511,69.86906081066223,False
61,-11.561424293608532,54,1572,71.50318232808804,False
23,-2.943333333333334,55,1595,72.10467732315222,False
101,-13.19572826219101,56,1696,68.33928508628864,False
17,-2.4133333333333336,57,1713,73.19729438684848,False
30,-6.032749205960996,58,1743,71.82625949422726,False
29,-7.326043834652808,59,1772,60.29764232317424,False
7,-1.6841004146116694,60,1779,72.79232212941407,False
27,-6.096478926089964,61,1806,70.14333752246056,False
41,-1.4614545380827273,62,1847,68.41392128796022,False
34,-1.2726410129239834,63,1881,69.07869583666763,False
52,-0.5450866792458087,64,1933,64.14287760335101,False
16,-4.8429487254118815,65,1949,59.3673077076188,False
18,-3.951822634604575,66,1967,65.64426745500391,False
29,-6.303375061147223,67,1996,69.31718522849603,False
17,-0.11133919509798629,68,2013,68.68007008330821,False
7,-1.5299999999999998,69,2020,69.6219374543523,False
15,-4.408161237590859,70,2035,66.07936511270803,False
17,-3.828430542093789,71,2052,3.1655529269364244,False
13,-3.6394852577208767,72,2065,50.39977298545388,False
23,-5.515209130164072,73,2088,39.63150653472733,False
6,1.9700220262614123,74,2094,33.64001219101394,True
32,-7.917126860805555,75,2126,64.30577525656628,False
19,-2.5900000000000003,76,2145,45.76925321221895,False
9,-1.7066666666666666,77,2154,72.52524251139789,False
24,-4.233154910408726,78,2178,45.747060577195754,False
31,-1.1501356456596419,79,2209,42.298580032225715,False
7,-0.664288203790934,80,2216,33.189724343358414,False
16,-2.3212105749998404,81,2232,53.22416867057084,False
63,-1.1845993267668766,82,2295,46.39687486172654,False
19,-1.791775039022289,83,2314,62.57726852266285,False
16,1.021493902975787,84,2330,38.679705750295824,False
5,-1.3533333333333333,85,2335,58.61322824522422,False
13,-2.06,86,2348,71.31397481002891,False
27,-4.0763379395545964,87,2375,49.18327321843099,False
24,-3.031666666666667,88,2399,72.15965499839427,False
15,-4.437824644192723,89,2414,40.08854395656911,False
15,-1.6748364766760462,90,2429,59.68092796120594,False
15,-3.057421393664933,91,2444,68.94632964937563,False
59,-2.1287908361590415,92,2503,51.314801324716164,False
35,-3.81909200597398,93,2538,54.116340778107016,False
36,-3.0163309896306334,94,2574,53.7179181226133,False
50,-12.516398055960424,95,2624,57.511887533878685,False
26,-5.377130830044876,96,2650,51.90775099375071,False
6,-1.396840936203707,97,2656,53.58797488165889,False
38,-9.169992180178088,98,2694,54.526454217341474,False
58,-7.267299479292242,99,2752,61.566035601404174,False
9,-1.032781426826714,100,2761,70.12895986445615,False
24,-2.6192842472252447,101,2785,49.33793269753887,False
21,2.0546877026838613,102,2806,62.40011561823878,True
37,-9.749777858466215,103,2843,53.40574626452199,False
12,-1.055,104,2855,37.40444676970822,False
48,-0.7829640746139039,105,2903,59.015204154496814,False
53,-2.510464642824944,106,2956,57.819500188701774,False
11,-1.649328119239167,107,2967,70.09815522150409,False
26,-5.94166870756212,108,2993,45.62480372891014,False
40,-5.2723789137422115,109,3033,58.85914297672503,False
24,-3.36793104226467,110,3057,46.7113111824591,False
12,-1.0446640547497845,111,3069,64.57154660019424,False
53,-15.074938499002117,112,3122,55.994430232312105,False
106,-9.940543852802147,113,3228,54.53379148976152,False
67,-17.028600080938574,114,3295,52.996415338008276,False
8,-1.1472877881018495,115,3303,54.92514797548583,False
25,-1.04979114944151,116,3328,54.64706081618082,False
39,-6.866976541794619,117,3367,63.46403650995213,False
11,-3.786127410092272,118,3378,32.24153331502434,False
18,1.3585779867778842,119,3396,62.74035095883763,False
10,-0.881136228720252,120,3406,63.31980676328502,False
39,-4.159146478605913,121,3445,55.036303643687916,False
71,-0.8904174233512796,122,3516,52.96398804468747,False
17,-2.920266496827163,123,3533,40.009161859327754,False
90,-19.723184140555603,124,3623,50.24553385437811,False
79,-12.45602143268098,125,3702,57.00655244138054,False
9,-1.7066666666666666,126,3711,67.7087940077056,False
61,-6.875617288167587,127,3772,52.59865701555494,False
11,-1.8833333333333333,128,3783,74.56431987251902,False
19,-0.33887686164525355,129,3802,68.18267656173265,False
8,-1.6183333333333332,130,3810,32.105541038474676,False
5,-2.5155674887163038,131,3815,50.688903391100474,False
65,-7.056575541898596,132,3880,57.93386527787901,False
24,-5.487682849775475,133,3904,49.608969339151905,False
8,-1.6183333333333332,134,3912,72.41343798624435,False
21,-2.766666666666667,135,3933,49.54841496954147,False
34,-5.298926577586788,136,3967,71.47316692753715,False
7,-0.4445402678385344,137,3974,28.952848283200222,False
36,-7.834532421385963,138,4010,41.112756463019196,False
82,-2.2456597236794096,139,4092,55.93406689555317,False
16,-1.2163416073734974,140,4108,70.74427057637897,False
13,1.5006794915251924,141,4121,63.01210758963395,False
11,-1.8737036616786447,142,4132,35.16236206514176,False
26,-4.366525042356903,143,4158,74.39783762247629,False
15,-2.236666666666667,144,4173,42.094580489763146,False
103,3.28764194576382,145,4276,56.61294307599831,False
21,0.8820776677328617,146,4297,45.178810983819716,False
24,-1.4800768120717642,147,4321,72.38589204457203,False
8,-1.2652789390252455,148,4329,31.61480074471052,False
16,-2.325,149,4345,66.70344048870962,False
31,-9.297219092174716,150,4376,49.253610396851975,False
49,-9.80161314157589,151,4425,57.70611229506586,False
13,-1.0372091309589713,152,4438,69.86511815039093,False
63,-9.05543580509396,153,4501,56.06477889474957,False
27,-3.7253949757067817,154,4528,56.2888607448968,False
19,-1.5780122090574007,155,4547,58.3764799818333,False
19,-2.90633241857789,156,4566,74.64964067054848,False
10,-1.795,157,4576,35.018630999344595,False
51,-10.53906823895609,158,4627,60.40155337195962,False
12,-3.2997591136716204,159,4639,67.84539359284392,False
23,-4.595885256968076,160,4662,47.730674861499445,False
25,-0.49114238691600987,161,4687,69.09445057254952,False
66,-6.933674874133182,162,4753,54.59141620660108,False
8,-1.3057973864183299,163,4761,60.847641671955756,False
31,-8.49386011528971,164,4792,56.8125527879233,False
10,-1.795,165,4802,74.76677629526637,False
31,1.9918502014839716,166,4833,50.046293719590324,False
24,-6.678870525596407,167,4857,48.2912694296914,False
12,-2.152661015762061,168,4869,69.23245414342603,False
111,-3.2452335515660082,169,4980,52.1038200252345,False
67,-0.7973304519735641,170,5047,61.055073073365804,False
32,-6.238815334693962,171,5079,54.493729176766166,False
15,-0.6410615228238276,172,5094,38.84005612910435,False
15,-2.871934989257337,173,5109,68.6661762555144,False
21,0.21003544186257583,174,5130,49.144348619829834,False
13,-3.2503629818357203,175,5143,58.25702304063764,False
73,-10.845784764111587,176,5216,54.87222051671082,False
