episode_length,episode_return,episodes,steps,steps_per_second,success
85,1.8607643273190049,1,85,48.85681368785131,False
13,-2.39543994029363,2,98,70.62023232711782,False
21,-4.6183918568335525,3,119,69.47947729700138,False
36,-2.458856450886982,4,155,73.45237426940412,False
39,-4.4871830820358465,5,194,73.91739110394933,False
57,-13.799473527355914,6,251,69.7510636603219,False
61,-0.9435548183493089,7,312,75.0134630015935,False
9,-1.7066666666666666,8,321,69.47330295423258,False
46,-9.310869603016693,9,367,69.60217113135553,False
7,-2.4880612003030533,10,374,62.24520177660939,False
11,-0.22680654213907303,11,385,68.05279336365943,False
8,-1.9879515128521088,12,393,60.63783662656002,False
26,-3.6087157488094364,13,419,75.81752108496768,False
25,-3.1097570405807704,14,444,73.9314211501161,False
33,-1.889285615944973,15,477,74.88961343221077,False
15,-2.1592101281656113,16,492,70.39320443206726,False
21,-0.8464136910142888,17,513,65.81045505997855,False
13,-1.1646284117326176,18,526,72.78366043694795,False
21,-6.184181096647182,19,547,68.26481486504815,False
5,-0.5127122135174317,20,552,60.06931674314423,False
53,-0.7750631576663232,21,605,76.7233077931939,False
26,-5.448173039859355,22,631,74.7172400940578,False
32,-5.175588547660882,23,663,71.2543721152958,False
18,-2.501666666666667,24,681,77.92643910696407,False
36,-3.4551388663347424,25,717,75.84594619981505,False
12,-2.7724338405869107,26,729,63.832551886822365,False
17,-5.1879337563981665,27,746,65.577468104831,False
27,-0.36662534920800316,28,773,73.81007526598587,False
9,-1.5318373148970106,29,782,66.6879886935783,False
7,-1.3986013885355775,30,789,74.1265751197356,False
33,-7.436103330173078,31,822,73.38165215242971,False
15,-2.009693919499038,32,837,66.83901262635652,False
55,-0.09359972598619004,33,892,68.65623063631055,False
11,0.11434486106903918,34,903,62.68882324647338,False
2,-1.483296400523802,35,905,53.26134134184979,False
19,-6.4150109084987275,36,924,67.42597902556444,False
30,-3.311296775949297,37,954,73.94288205901486,False
7,-1.8052721692082072,38,961,73.9452968376938,False
39,-6.303134217265927,39,1000,75.22128259532002,False
29,-3.473333333333334,40,1029,79.71270745749271,False
13,-0.9599107475841512,41,1042,69.75205926486899,False
26,-3.9418898668132027,42,1068,75.35122107613898,False
123,-29.13641390934061,43,1191,73.82431766445283,False
51,1.399451049799072,44,1242,74.51875148490915,False
78,-23.888077607436802,45,1320,70.65512822229488,False
58,-7.334455606279724,46,1378,72.36220002599772,False
19,-1.6978534877246731,47,1397,67.58036151168362,False
12,-2.820534368449013,48,1409,58.05800765929959,False
19,-0.7185336046612785,49,1428,68.6839977350041,False
14,-1.041787717280836,50,1442,74.6567938403328,False
11,-2.8745634303005416,51,1453,74.34468334012797,False
23,-3.371721943955825,52,1476,71.33138421450363,False
13,-2.06,53,1489,77.05323610875587,False
21,-4.8647481022726,54,1510,72.46348787426554,False
85,-11.967757835779091,55,1595,74.2821186610894,False
50,-10.4423664967389,56,1645,75.10977337617778,False
38,-1.4113950689158563,57,1683,68.69717153091972,False
42,-7.779224613500773,58,1725,64.96154467377396,False
37,-5.677496936507733,59,1762,68.8693583789018,False
7,-2.33616628986035,60,1769,59.822180566026205,False
55,-8.189956184296896,61,1824,68.96086701385245,False
22,-0.12068827910303792,62,1846,43.47000288780296,False
22,0.033274422247346225,63,1868,64.81598099520876,True
2,-1.0788694704875668,64,1870,50.954000157928945,False
5,-0.5552191538532987,65,1875,63.38679159740064,False
28,-4.264926316239654,66,1903,71.97296122951639,False
8,-1.6183333333333332,67,1911,72.39406511800507,False
12,-3.194087302033513,68,1923,69.68652199075676,False
11,-0.505075074819302,69,1934,72.62086703036904,False
14,-1.7329380195554822,70,1948,78.2270252411612,False
6,-0.3182106469961945,71,1954,62.05035369885914,False
26,-1.5084855749388988,72,1980,76.08842150505224,False
5,-1.2079319353650995,73,1985,47.786573333515626,False
19,-5.8401070395011345,74,2004,66.80462868888465,False
31,-0.1725070434696221,75,2035,66.81333353887578,False
19,-2.9378900110162824,76,2054,3.9351375010789416,False
20,-1.4362138124306996,77,2074,57.90914004808844,False
12,-1.0013490981880424,78,2086,59.835002032873106,False
41,-6.775468788378014,79,2127,55.2993949645227,False
