episode_length,episode_return,episodes,steps,steps_per_second,success
22,-3.8997131883100447,1,22,27.867143266139895,False
17,-2.4133333333333336,2,39,69.15446947882347,False
22,-2.3486998703794058,3,61,70.00662931449793,False
17,-2.4133333333333336,4,78,71.73891014019152,False
19,-1.0897138331258132,5,97,66.50208497623787,False
13,-2.06,6,110,73.86808967788521,False
42,-4.868484756797361,7,152,69.17382793556527,False
8,-1.3395492609134994,8,160,66.39091267038248,False
115,-7.700790942678461,9,275,68.29575151668843,False
13,-3.8796039169106358,10,288,61.028816514932075,False
14,-2.1483333333333334,11,302,72.551109266041,False
23,-2.315512324959469,12,325,67.93791929057056,False
26,-5.281827385502293,13,351,67.1153896809659,False
23,-1.885219292799664,14,374,71.36230563240669,False
30,-2.439649772510294,15,404,68.1476153854486,False
8,-1.6183333333333332,16,412,70.38323275419044,False
53,3.8195303675455365,17,465,67.18806986046947,False
12,-1.0088793643755594,18,477,66.6340740113114,False
61,0.9474929107795509,19,538,67.59394474180611,False
17,-5.2702776309814565,20,555,68.12174620856749,False
82,-15.03313000479626,21,637,70.11895799218429,False
51,-0.23722848106119598,22,688,68.69850979994175,False
26,-3.593232348372811,23,714,71.79256688343408,False
6,-1.040455730804672,24,720,66.48057821547826,False
44,-6.45762941829032,25,764,69.74507569000808,False
45,-7.191473010270242,26,809,68.51935160189994,False
24,-4.314055376640722,27,833,66.16669438311405,False
75,-18.567196651166,28,908,69.44759222746693,False
9,-0.1298941828062583,29,917,60.88977211138927,False
36,-7.382641432877492,30,953,73.4916282445085,False
10,-1.8035328629957943,31,963,64.09153698519614,False
23,-0.09734237733092588,32,986,69.72071096065548,False
24,-4.4546586352618105,33,1010,64.48360737648841,False
44,-8.837782093803536,34,1054,70.4627365215459,False
18,-2.2724820161312835,35,1072,69.01181101282566,False
19,-5.692344076774858,36,1091,66.64211664493814,False
4,-0.6214711235376543,37,1095,60.33537361633569,False
23,-1.3049472110962268,38,1118,67.35537295102284,False
9,-1.7172769442360931,39,1127,63.23198456250377,False
30,-10.216979503144112,40,1157,68.16758844973046,False
19,-6.3458066949514835,41,1176,58.74470616507123,False
35,-12.81104444187959,42,1211,65.1663554853585,False
23,-5.8308483001909845,43,1234,62.41758036986378,False
18,2.397299366282096,44,1252,57.358613500922324,False
30,-3.683858728637655,45,1282,63.89051963264852,False
51,-3.784274098980777,46,1333,74.34504508293153,False
35,-5.718123677903531,47,1368,71.74968267521534,False
16,0.5604951573875456,48,1384,70.08253608878316,False
15,-2.236666666666667,49,1399,73.17118443593886,False
17,-3.987562230582533,50,1416,69.53414969754476,False
10,-3.749561736937582,51,1426,64.22638389097312,False
28,0.5892694411663224,52,1454,68.3068490346116,False
94,-3.6540476283573344,53,1548,73.32561562877947,False
13,-2.06,54,1561,71.93549204204838,False
23,-2.943333333333334,55,1584,70.05299015457277,False
26,-4.4831523384154455,56,1610,62.29974537815942,False
17,-2.3724534639134296,57,1627,73.56848891053313,False
30,-4.024614088181755,58,1657,67.02296736502498,False
11,-1.625262931438177,59,1668,65.33849953549498,False
7,-0.028880121184037044,60,1675,60.37277972667865,False
58,-8.154904185844568,61,1733,64.7750502115903,False
12,-1.8140711275567565,62,1745,62.27568927267396,False
15,-3.2732669057253623,63,1760,56.24331538850756,False
6,-2.6690542845340577,64,1766,56.961383415760345,False
5,-1.3533333333333333,65,1771,60.904586825582136,False
8,-4.080650977224037,66,1779,70.84060541188741,False
13,-2.06,67,1792,74.04584311653886,False
33,-6.399085707248214,68,1825,67.85854879654697,False
11,-1.9989932449620738,69,1836,65.7947865967135,False
47,-6.147230157625545,70,1883,75.53499521421833,False
78,0.9135446009333279,71,1961,70.53586529275591,False
6,-1.4421943762151894,72,1967,59.063751088413184,False
16,-2.325,73,1983,71.72823399768491,False
22,-1.2474599043492431,74,2005,67.92035166336417,False
25,-7.680759392445744,75,2030,51.52482274730982,False
19,-2.5900000000000003,76,2049,3.8738433658568834,False
30,-6.918754759682264,77,2079,47.86694091855107,False
21,-9.34932399087768,78,2100,45.702245564442066,False
26,-3.760789075846128,79,2126,58.15906132220624,False
19,-2.255748042717049,80,2145,40.50208248945287,False
31,-5.4375335229293675,81,2176,42.589089003349194,False
24,-5.2347080844783385,82,2200,61.68109235561852,False
16,-1.089716071449047,83,2216,46.911167157852354,False
10,-3.4894372409561094,84,2226,59.7240136070889,False
21,1.0592659315268587,85,2247,62.935688409680395,False
1,1.0,86,2248,9.626034769636812,True
49,-9.699849848056378,87,2297,53.90648398904144,False
25,-1.8739361286421976,88,2322,70.37455880665212,False
15,-2.236666666666667,89,2337,46.25774674708309,False
37,-7.723670541313908,90,2374,57.55340580669542,False
16,-1.4772918304719491,91,2390,72.07706394034398,False
45,-7.032707198302766,92,2435,58.3670471655549,False
32,-7.703099999247711,93,2467,56.370933911920076,False
26,-5.439576119928099,94,2493,53.76703036637856,False
11,-3.0171447631502804,95,2504,63.86481031862263,False
28,-4.924190603118479,96,2532,53.221877250329804,False
7,-0.9885358695684339,97,2539,60.552452095505814,False
16,-3.879869632717123,98,2555,63.87360217617458,False
160,-7.411977281028866,99,2715,57.10151998463653,False
19,-3.048289318368807,100,2734,48.61685476884784,False
24,-2.5101492728751627,101,2758,65.00827333320848,False
24,-0.4160169937434084,102,2782,52.50443920773364,False
38,-5.325417097406487,103,2820,54.514350485463794,False
11,-0.5238393559954875,104,2831,66.38304386799172,False
59,-10.756865171804119,105,2890,57.15842999520261,False
18,-3.4721682711623516,106,2908,60.62301021391405,False
